"SAT I: 1480 (760M, 720RW)",GPA (UW/W): 3.9 ,"Jackson Laboratory Achievement Award (1st place in state health app competition)

Junior Achievement Award (State finalist for AI Innovation pitch)

QuestBridge College Prep Scholar

AP Scholar Award","Family responsibilities (my biggest commitment): household management, cleaning, cooking, errands, chores, and taking care of siblings.

Machine Learning & AI: building apps and projects solo/team (ex. 1st place state health app, regional AI lawyer pitch).

Independent STEM learning: self-studied multivariable calculus, linear algebra, statistics, physics, and applied concepts to projects.

Video editing for entrepreneurial pitches and competitions: often linked to my AI/ML work and sometimes just for fun.

Calisthenics: skills training (sometimes with peers) like splits, planche progressions, pistol squats, and one-arm pushup work."
"SAT I: 1460 (740M, 720RW)",GPA: 3.72 UW,"Senior Year Course Load: AP United States Government and Politics, Health, Honors 

English 4 (Dual Enrollment), 

AP Statistics, Creative Writing,

AP English Language and Composition,

AP Art","Varsity Bowling (4 years; Captain [senior]): Regional Runner-up (2023); Regional Champion (2024, 2025); DII Girls' Bowling State Champion (2025)

Literary Art Magazine (3 years; public relations [junior], Art Editor [senior])

YMCA Youth in Government (3 years; White Chamber Senator [sophomore], Red House Representative [junior])

Hispanic Student Organization (4 years; Co-president [senior])

Cheese Club (2 years; founder/ president [junior, senior]

150+ hours of community service/ volunteer work at multiple non-profits"
"SAT: 1500 (750RW, 750M)",GPA (UW/W): 4.0,"FBLA Nationals 8th Place - 11th grade

QuestBridge College Prep Scholar - 11th grade

Mock trial county champion - 11th grade

AP Scholar w/ Distinction - 11th grade","Mock trial - school co-president, ~6 hours/week, 2x state finalist/county champion

FBLA - school VP of competitions, ~6 hours/week, 8th place at nationals + 2nd place at CA state my junior year

District attorney's office summer internship - ~20 hours/week, collaborated with prosecutors preparing for misdemeanor cases in court

NHS - school president, ~2 hours/week

Gilder Lehrman Institute Student Advisory Council - ~1 hour/week"
"SAT I: 1580 (780RW, 800M)",GPA (UW/W): 4.00,"National Merit Semifinalist

AP Scholar w/ Distinction","Math Club President

Science Club team captain

Varsity Athlete (not recruited)

Paid Academic Internship

DECA ICDC qualifier"
"SAT I: 1580 (780RW, 800M)",GPA (UW/W): 4.0,"6x AIME (after cutoffs released so 5x when apps where due), AMC10 DHR, HR

BBO Gold, USABO 2x HM :(( i trolled too much on this

Math modeling competition awards (pretty decent)

National cybersec awards

More cybersec awards","Prestigious selective summer research program (think BU RISE Intern/Garcia/RMP)

Internship at t25 in comp bio in niche topic 

Internship at federal agency in same niche topic 

Research w/ Wolfram 2x - 1) same niche topic and 2) other comp bio topic

Co-founder of nonprofit w/ reach across the country; impacted >30,000 attendees and raised a lot of money"
"1540 SAT (750 eng, 790 math)",GPA 4.0,"NCTE writers award, superior (international)

ACSI writing award, notable superior (international)

AP International Diploma

3,500 Pounds scholarship from Immerse Essay Competition (global)

ACSI DCHSS","Service Project – Nursery Renovation (1.7k dollars Fundraised) (11-12)

Theater & Dance Leadership (9-12)

Founder & Leader – High School Dance Club (10-12)

Chief Editor – The Quill (School Magazine) (11-12)

Chapel + School Events Coordinator ((9, 11-12)"
SAT: 1550 (780M / 770R),GPA: 3.92 UW,"Research poster at national conference (didn't win awards)

PVSA Gold

AP Scholar w/ Distinction

Some local/state science and school leadership awards","Founded a student research org connecting HS students with medical research mentors; ran workshops and helped students submit abstracts

Research intern at a university lab (neuroscience related); contributed to abstract + poster that was later presented at a conference

Bibliometric analysis research in neurodegenerative disease with organization; second authorship of poster, abstract, and oral presentation

Physician shadowing (IM + neurology)

President of Science Olympiad"
"SAT 1130  (640 math, 490 r&w)",GPA (UW/W): 4.00,"Valedictorian

PVSA Gold

PVSA Silver

AP Scholar","President of Computer Science Honor Society

President of Computer Science Club

Vice President of AASU (African American Student Union)

Student Council Vice President + Executive

Volunteer at CS Tutoring nonprofit for under-resourced high schools w/ 300+ volunteering hours

UNICEF Student Representative"
"SAT: 1530 (740 RW, 790 M)",GPA (UW/W): 3.8 ,"National youth excellence recognition

Made national camp in my country (top 50) for International Economics Olympiad

Top 50 intl business case comp

Another National youth award for ec 1

School subject award","Partnered with an existing ngo, raised 20k, impacting 1k kids

Worked on organizing team for finance conference, 20k attendees, Fortune 500 executives and government speakers

Cultural event planning, 10k attendees

Econ club, partnered with billion-dollar firm

Finance Internship

Business, 15k revenue

Volunteering

TikTok, 30m views, 40k followers"
"SAT: 1450 (740 M, 710 RW)

",GPA (UW/W): 3.9,AP Scholar,"Tutoring college students, y'all know me
FTC Robotics
Latin Honors Society"
